"Story","Title","Result","Date","Stability","Duration (s)"
"Tag test","Correct HTTP method is used to access resources","SUCCESS","2023-01-10T23:12:44.348Z[Europe/London]","0.0","6.66"
"Tag test","Incorrect HTTP method used to access resources and validate response 405","SUCCESS","2023-01-10T23:12:51.089Z[Europe/London]","0.0","0.66"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:12:51.754Z[Europe/London]","0.0","0.53"
"Create booking with data driven","Data driven test for adding multiple booking to the application","SUCCESS","2023-01-10T23:12:52.243Z[Europe/London]","0.0","110.8"
