"Story","Title","Result","Date","Stability","Duration (s)"
"Herokuapp Booker Application","CRUD Test","SUCCESS","2023-01-10T23:12:44.385Z[Europe/London]","0.0","10.65"
"Testing different request on the restful booker app","As a user I create booking","SUCCESS","2023-01-10T23:12:55.708Z[Europe/London]","0.0","0.5"
"Testing different request on the restful booker app","As a user I check that booking is created","SUCCESS","2023-01-10T23:12:56.260Z[Europe/London]","0.0","0.57"
"Testing different request on the restful booker app","As a user I update booking","SUCCESS","2023-01-10T23:12:56.857Z[Europe/London]","0.0","1.01"
"Testing different request on the restful booker app","As a user I delete booking","SUCCESS","2023-01-10T23:12:57.935Z[Europe/London]","0.0","1.04"
